order,movie_imdb_id,movie_name,role,order,name,imdb_id,img,gender,races,poc,note,reference_url,voice,race_reflected
194,1055369,Transformers: Revenge of the Fallen,USAF Chief Master Sergeant Epps,4,Tyrese Gibson,879085,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/879085.jpg,m,b,1,,http://www.imdb.com/name/nm0879085/awards,0,-1
274,1596343,Fast Five,Roman,4,Tyrese Gibson,879085,http://s3.amazonaws.com/brianfoo_art/hollywood/879085.jpg,m,b,1,,http://www.imdb.com/name/nm0879085/awards,0,-1
295,1399103,Transformers: Dark of the Moon,Epps,5,Tyrese Gibson,879085,http://s3.amazonaws.com/brianfoo_art/hollywood/879085.jpg,m,b,1,,http://www.imdb.com/name/nm0879085/awards,0,-1
1,454921,The Pursuit of Happyness,Chris Gardner,1,Will Smith,226,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/226.jpg,m,b,1,,,0,-1
71,480249,I Am Legend,Robert Neville,1,Will Smith,226,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/226.jpg,m,b,1,,,0,-1
131,448157,Hancock,John Hancock,1,Will Smith,226,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/226.jpg,m,b,1,,,0,-1
75,480249,I Am Legend,Marley Neville,5,Willow Smith,2405238,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/2405238.jpg,f,b,1,,,0,-1
358,1905041,Fast & Furious 6,Hobbs,3,Dwayne Johnson,425005,http://s3.amazonaws.com/brianfoo_art/hollywood/425005.jpg,m,"b,a",1,"His father is black (of Black Nova Scotian descent), and his mother is of Samoan background",http://www.imdb.com/name/nm0425005/bio,0,-1
275,1596343,Fast Five,Tej,5,Ludacris,524839,http://s3.amazonaws.com/brianfoo_art/hollywood/524839.jpg,m,"b,b,w,o",1,"African-American, English, Jewish, and Native American ancestry",https://en.wikipedia.org/wiki/Ludacris#Early_life,0,-1
72,480249,I Am Legend,Anna,2,Alice Braga,103797,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/103797.jpg,f,h,1,Brazilian; identifies as Latina; possibly some African and native based on ethnicity of aunt Sonia Braga,http://www.latina.com/entertainment/celebrity/cover-exclusive-alice-braga-hollywoods-next-screen-goddess,0,-1
209,892769,How to Train Your Dragon,Astrid,4,America Ferrera,1065229,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1065229.jpg,f,h,1,Parents are Honduran,http://www.imdb.com/name/nm1065229/bio,1,0
94,413267,Shrek the Third,Puss in Boots,4,Antonio Banderas,104,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/104.jpg,m,h,1,Spanish; Latin descent,http://www.imdb.com/name/nm0000104/bio,1,0
214,892791,Shrek Forever After,Puss in Boots,4,Antonio Banderas,104,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/104.jpg,m,h,1,Spanish; Latin descent,http://www.imdb.com/name/nm0000104/bio,1,0
40,317219,Cars,Ramone,5,Cheech Marin,1507,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1507.jpg,m,h,1,Mexican,http://www.imdb.com/name/nm0001507/bio,1,0
333,1074638,Skyfall,Silva,3,Javier Bardem,849,http://s3.amazonaws.com/brianfoo_art/hollywood/849.jpg,m,h,1,Spanish,http://www.imdb.com/name/nm0000849/bio,0,-1
29,382625,The Da Vinci Code,Captain Bezu Fache,4,Jean Reno,606,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/606.jpg,m,h,1,Spanish parents,http://www.imdb.com/name/nm0000606/bio,0,-1
465,3659388,The Martian,Rick Martinez,5,Michael Peña,671567,http://s3.amazonaws.com/brianfoo_art/hollywood/671567.jpg,m,h,1,Mexican-American,http://www.imdb.com/name/nm0671567/bio,0,-1
200,499549,Avatar,Trudy Chacón,5,Michelle Rodriguez,735442,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/735442.jpg,f,h,1,Puerto Rican and Dominican,http://www.imdb.com/name/nm0735442/bio,0,-1
360,1905041,Fast & Furious 6,Letty,5,Michelle Rodriguez,735442,http://s3.amazonaws.com/brianfoo_art/hollywood/735442.jpg,f,h,1,Puerto Rican and Dominican,http://www.imdb.com/name/nm0735442/bio,0,-1
479,2820852,Furious 7,Letty,4,Michelle Rodriguez,735442,http://s3.amazonaws.com/brianfoo_art/hollywood/735442.jpg,f,h,1,Puerto Rican and Dominican,http://www.imdb.com/name/nm0735442/bio,0,-1
500,2488496,Star Wars: The Force Awakens,Poe Dameron,5,Oscar Isaac,1209966,http://s3.amazonaws.com/brianfoo_art/hollywood/1209966.jpg,m,h,1,"Guatemalan, Cuban",http://www.imdb.com/name/nm1209966/bio,0,-1
277,1298650,Pirates of the Caribbean: On Stranger Tides,Angelica,2,Penélope Cruz,4851,http://s3.amazonaws.com/brianfoo_art/hollywood/4851.jpg,f,h,1,Spanish,http://www.imdb.com/name/nm0004851/bio,0,-1
170,796366,Star Trek,Uhura,5,Zoe Saldana,757855,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/757855.jpg,f,h,1,Her father had Dominican ancestry; her mother is Puerto Rican. She also has Haitian and Lebanese ancestry.,http://www.imdb.com/name/nm0757855/bio,0,-1
197,499549,Avatar,Neytiri,2,Zoe Saldana,757855,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/757855.jpg,f,h,1,Her father had Dominican ancestry; her mother is Puerto Rican. She also has Haitian and Lebanese ancestry.,http://www.imdb.com/name/nm0757855/bio,0,-1
437,2015381,Guardians of the Galaxy,Gamora,2,Zoe Saldana,757855,http://s3.amazonaws.com/brianfoo_art/hollywood/757855.jpg,f,h,1,Her father had Dominican ancestry; her mother is Puerto Rican. She also has Haitian and Lebanese ancestry.,http://www.imdb.com/name/nm0757855/bio,0,-1
130,910970,WALL-E,AUTO,5,MacInTalk,3050831,none,o,u,0,A text-to-speech program,,1,0
374,1454468,Gravity,Aningaaq,4,Orto Ignatiussen,1241511,none,m,u,1,possibly Greenland Inuit,http://www.hollywoodreporter.com/news/gravity-spinoff-watch-side-sandra-657919,1,0
148,468569,The Dark Knight,Harvey Dent,3,Aaron Eckhart,1173,http://s3.amazonaws.com/brianfoo_art/hollywood/people_top10_2006_2010/1173.jpg,m,w,0,"English, Scottish, German, and Northern Irish (Scots-Irish)",http://www.imdb.com/name/nm0001173/bio,0,-1
499,2488496,Star Wars: The Force Awakens,Kylo Ren,4,Adam Driver,3485845,http://s3.amazonaws.com/brianfoo_art/hollywood/3485845.jpg,m,w,0,"English, as well as Dutch, German, Irish, and Scottish",http://www.imdb.com/name/nm3485845/bio,0,-1
474,2293640,Minions,Madge Nelson,4,Allison Janney,5049,http://s3.amazonaws.com/brianfoo_art/hollywood/5049.jpg,f,w,0,English and German,http://www.imdb.com/name/nm0005049/bio,1,1
