artist,song,album,url,score
Michael Jackson,Love Is Here And Now You're Gone,Got To Be There,http://genius.com/Michael-jackson-love-is-here-and-now-youre-gone-lyrics,4
Michael Jackson,Heal The World,Dangerous,http://genius.com/Michael-jackson-heal-the-world-lyrics,4
Michael Jackson,Human Nature,Thriller,http://genius.com/Michael-jackson-human-nature-lyrics,3
Michael Jackson,The Lady In My Life,Thriller,http://genius.com/Michael-jackson-the-lady-in-my-life-lyrics,3
Michael Jackson,Break Of Dawn,Invincible,http://genius.com/Michael-jackson-break-of-dawn-lyrics,3
Madonna,Thief Of Hearts,Erotica,http://genius.com/Madonna-thief-of-hearts-lyrics,14
Madonna,Skin,Ray Of Light,http://genius.com/Madonna-skin-lyrics,12
Madonna,Open Your Heart,True Blue,http://genius.com/Madonna-open-your-heart-lyrics,8
Madonna,Fever,Erotica,http://genius.com/Madonna-fever-lyrics,8
Madonna,Frozen,Ray Of Light,http://genius.com/Madonna-frozen-lyrics,7
Madonna,Spanish Eyes,Like A Prayer,http://genius.com/Madonna-spanish-eyes-lyrics,7
Madonna,Heartbeat,Hard Candy,http://genius.com/Madonna-heartbeat-lyrics,7
Madonna,Waiting,Erotica,http://genius.com/Madonna-waiting-lyrics,7
Madonna,Promise To Try,Like A Prayer,http://genius.com/Madonna-promise-to-try-lyrics,6
Madonna,Rain,Erotica,http://genius.com/Madonna-rain-lyrics,6
Madonna,Bitch I'm Madonna,Rebel Heart,http://genius.com/Madonna-bitch-im-madonna-lyrics,5
Madonna,Holy Water,Rebel Heart,http://genius.com/Madonna-holy-water-lyrics,5
Madonna,Dear Jessie,Like A Prayer,http://genius.com/Madonna-dear-jessie-lyrics,5
Madonna,Bad Girl,Erotica,http://genius.com/Madonna-bad-girl-lyrics,5
Madonna,Forbidden Love,Confessions on a Dance Floor,http://genius.com/Madonna-forbidden-love-lyrics,5
Madonna,Forbidden Love,Bedtime Stories,http://genius.com/Madonna-forbidden-love-lyrics,5
Madonna,True Blue,True Blue,http://genius.com/Madonna-true-blue-lyrics,4
Madonna,Illuminati,Rebel Heart,http://genius.com/Madonna-illuminati-lyrics,4
Madonna,To Have And Not To Hold,Ray Of Light,http://genius.com/Madonna-to-have-and-not-to-hold-lyrics,4
Madonna,What It Feels Like For a Girl,Music,http://genius.com/Madonna-what-it-feels-like-for-a-girl-lyrics,4
Green Day,Makeout Party,¡Dos!,http://genius.com/Green-day-makeout-party-lyrics,10
Green Day,Dry Ice,"1,039/Smoothed Out Slappy Hours",http://genius.com/Green-day-dry-ice-lyrics,10
Green Day,Fell For You,¡Uno!,http://genius.com/Green-day-fell-for-you-lyrics,9
Green Day,Let Yourself Go,¡Uno!,http://genius.com/Green-day-let-yourself-go-lyrics,7
Green Day,80,Kerplunk,http://genius.com/Green-day-80-lyrics,6
Green Day,Wild One,¡Dos!,http://genius.com/Green-day-wild-one-lyrics,6
Green Day,Brain Stew,Insomniac,http://genius.com/Green-day-brain-stew-lyrics,5
Green Day,Jesus of Suburbia,American Idiot,http://genius.com/Green-day-jesus-of-suburbia-lyrics,5
Green Day,Kill the DJ,¡Uno!,http://genius.com/Green-day-kill-the-dj-lyrics,4
