name,gender
Rihanna,female
Kanye West,male
Madonna,female
Green Day,male
Mariah Carey,female
Jay Z,male
Beyoncé,female
The Beatles,male
Diana Ross,female
Michael Jackson,male
Eminem,male
Taylor Swift,female
